speed,timestamp,waypoints,ego_bbox,npc_bbox,npc_forward
2.0,44.371393118053675,"[[46.467796550211204, -156.7610795447884], [46.50589513672575, -157.19193996541367], [46.54947396774139, -157.67678466419588], [46.5751040999136, -158.14275172476331]]","[[156.26953125, 44.490699768066406], [158.3970184326172, 44.55022048950195], [156.4066162109375, 39.5909423828125], [158.5341033935547, 39.65046310424805]]","[[159.8560028076172, 37.39048385620117], [159.8425750732422, 37.39061737060547], [159.85609436035156, 37.01797103881836], [159.84268188476562, 37.01810073852539]]","[-0.9999141097068787, -0.00026739525492303073]"
2.0,44.47139311954379,"[[46.212363850509306, -156.79274093935894], [46.24027664218319, -157.0584635407265], [46.26812626475384, -157.26516379741705], [46.28552734992855, -157.45377375978194]]","[[156.27487182617188, 44.31571578979492], [158.4023895263672, 44.37418746948242], [156.40953063964844, 39.415897369384766], [158.53704833984375, 39.474369049072266]]","[[159.63072204589844, 37.39037322998047], [159.6189422607422, 37.39042282104492], [159.63076782226562, 37.01785659790039], [159.61898803710938, 37.017906188964844]]","[-0.9999338388442993, -0.00014653030666522682]"
2.0,44.57139312103391,"[[46.02907151735889, -156.29460302657608], [46.030958863061265, -156.39009669860087], [46.044442394049135, -156.614610683219], [46.04833028556466, -156.87098155651114]]","[[156.2781219482422, 44.22523880004883], [158.40567016601562, 44.2828483581543], [156.4108123779297, 39.32537841796875], [158.53834533691406, 39.38298797607422]]","[[159.40208435058594, 37.39033889770508], [159.40213012695312, 37.017822265625], [157.75929260253906, 37.390098571777344], [157.7593536376953, 37.01758575439453]]","[-0.9999616146087646, -0.00014438868674915284]"
2.0,44.67139312252402,"[[46.00900996264705, -156.2974512365669], [46.01368299862236, -156.41943239787676], [46.03706310202141, -156.751575193085], [46.04718729860514, -157.14363793143576]]","[[156.27838134765625, 44.2177848815918], [158.4059295654297, 44.27534103393555], [156.4109344482422, 39.31792068481445], [158.53848266601562, 39.3754768371582]]","[[159.17520141601562, 37.39031219482422], [159.17526245117188, 37.01779556274414], [157.5323944091797, 37.390071868896484], [157.53245544433594, 37.017555236816406]]","[-0.9999767541885376, -0.0001443908695364371]"
2.0,44.77139312401414,"[[46.025224067157296, -156.2059635527273], [46.02074350047507, -156.2508612457927], [46.04822548323349, -156.57389383550117], [46.06669364250412, -156.99938849117865]]","[[156.27838134765625, 44.21737289428711], [158.4059295654297, 44.27492904663086], [156.4109344482422, 39.3174934387207], [158.53848266601562, 39.37504577636719]]","[[158.95010375976562, 37.390281677246094], [158.95016479492188, 37.017765045166016], [157.3072967529297, 37.39004135131836], [157.30734252929688, 37.01752471923828]]","[-0.9999834895133972, -0.0001443918445147574]"
2.0,44.871393125504255,"[[46.03888624120844, -156.22464195790738], [46.03145923056245, -156.209287526945], [46.02780462945974, -156.20797252982126], [46.02244080860486, -156.21019633071745]]","[[156.2783966064453, 44.217041015625], [158.40594482421875, 44.27459716796875], [156.41094970703125, 39.31715393066406], [158.5384979248047, 39.37471008300781]]","[[158.7266845703125, 37.39025115966797], [158.72674560546875, 37.01773452758789], [157.0838623046875, 37.390010833740234], [157.08392333984375, 37.017494201660156]]","[-0.999986469745636, -0.00014439228107221425]"
2.0,44.97139312699437,"[[46.03259901234806, -156.2107954134446], [46.02730921957378, -156.19109435451358], [46.03643616729963, -156.23300215805043], [46.04206327400629, -156.29061901894926]]","[[156.2783966064453, 44.21683883666992], [158.40594482421875, 44.27439498901367], [156.41094970703125, 39.316951751708984], [158.5384979248047, 39.37450408935547]]","[[158.50448608398438, 37.39022445678711], [158.50454711914062, 37.01770782470703], [156.86166381835938, 37.389984130859375], [156.86172485351562, 37.0174674987793]]","[-0.9999870657920837, -0.00014439236838370562]"
2.0,45.07139312848449,"[[46.03831809734213, -156.2107402753486], [46.03154691946484, -156.18760342692886], [46.03825139663832, -156.22142773601868], [46.04206618654653, -156.26957402282224]]","[[156.2783966064453, 44.216758728027344], [158.40594482421875, 44.274314880371094], [156.41094970703125, 39.316871643066406], [158.5384979248047, 39.37442398071289]]","[[158.2866668701172, 37.390193939208984], [158.28672790527344, 37.017677307128906], [156.6438446044922, 37.38995361328125], [156.64389038085938, 37.01743698120117]]","[-0.999992311000824, -0.0001443931250832975]"
2.0,45.171393129974604,"[[46.03218064488852, -156.20950429611005], [46.029459991292796, -156.19002471314963], [46.05243757491199, -156.27561259062347], [46.07078831266503, -156.39182325254535]]","[[156.2783966064453, 44.2166862487793], [158.40594482421875, 44.27423858642578], [156.41094970703125, 39.316795349121094], [158.5384979248047, 39.37434768676758]]","[[158.09461975097656, 37.39016342163086], [158.0946807861328, 37.01764678955078], [156.4517822265625, 37.389923095703125], [156.45184326171875, 37.01740646362305]]","[-0.9999995827674866, -0.00014439417282119393]"
2.0,45.27139313146472,"[[46.027697903842686, -156.20905815905985], [46.02564740470571, -156.19310619343642], [46.048871504330606, -156.28089632359473], [46.067156998562176, -156.39885330120023]]","[[156.2783966064453, 44.21664047241211], [158.40594482421875, 44.274192810058594], [156.41094970703125, 39.316749572753906], [158.5384979248047, 39.37430191040039]]","[[157.92909240722656, 37.390132904052734], [157.92913818359375, 37.017616271972656], [156.28623962402344, 37.38990020751953], [156.2863006591797, 37.01738357543945]]","[-0.9999998211860657, -0.00014081792323850095]"
